9	-2
9	-2
-6	6
-2	-8
-3	-6
6	-5
6	9
6	2
4	-3
3	-7
-3	-21
-12	2
6	-8
3	-12
7	-2
1	-4
7	-10
0	1
0	-4
1	2
10	-7
1	9
0	0
8	-8
-2	-4
5	-5
-2	-7
-2	-4
-9	5
-8	8
-4	-4
1	1
0	16
-13	1
1	3
19	-3
1	-13
0	1
3	-8
7	-4
-7	8
-7	-4
2	19
1	8
-4	8
3	-3
7	-2
16	5
0	-4
7	-4
2	2
-8	-3
19	0
-4	-4
-10	4
-3	-5
-7	-3
-8	2
5	0
-4	3
10	-8
0	2
9	-11
-4	-6
21	-10
1	5
5	-6
7	-2
4	14
-8	-2
1	2
1	-3
-8	0
-9	16
9	2
7	5
-3	-12
-4	9
7	-9
-1	0
5	-16
-5	-7
-3	-2
11	5
-4	-8
-1	4
0	2
-11	6
10	-1
-1	8
-8	-5
3	-1
0	7
7	-12
-5	-12
7	-1
0	-10
1	8
3	-5
8	8
-7	13
12	-7
-2	-6
1	7
4	6
-5	6
0	-2
6	6
-1	0
-9	-8
-9	-1
-3	-5
11	10
9	3
9	3
-8	-9
-7	2
11	3
9	-8
-7	8
5	-6
-3	7
-10	-3
-13	-6
11	-1
4	-10
8	-22
-1	-14
15	-2
6	0
0	-4
-1	-10
-5	1
-1	1
-1	-2
3	-3
11	19
7	9
-3	6
-2	8
2	-4
-4	-13
3	8
-3	-4
6	-3
7	18
-8	-6
-10	7
0	0
2	13
-4	5
0	4
-2	0
-3	3
-9	5
6	-13
-4	-4
-2	-11
-7	0
0	-6
-4	0
3	-4
4	-6
5	-11
14	4
8	-3
-13	-17
-10	1
-2	0
-5	-1
-11	-5
12	18
5	6
3	1
2	0
10	7
-16	-1
-7	5
4	-7
-7	0
-11	-4
14	-12
1	4
-1	18
6	-6
-5	-11
-5	-2
9	-4
4	-5
1	-7
3	3
-11	-7
-4	4
-17	0
11	-1
-4	-7
-5	-5
8	2
-2	0
-13	-18
-4	3
2	5
-4	-4
-2	-4
-6	-4
-3	10
6	-1
-3	0
-17	3
1	2
4	3
-9	1
4	3
14	7
-6	-1
-10	-11
4	-9
8	-7
-2	-6
6	2
6	-4
2	5
10	7
-4	0
-3	7
-8	10
-11	-2
8	4
-5	12
-1	-6
15	1
19	-2
7	1
-13	4
-12	-3
8	4
-10	8
-6	-11
1	1
-1	6
-4	-13
10	6
8	-11
-1	5
1	-3
5	0
8	-2
-15	-2
-9	7
-5	-1
13	4
-2	-3
5	6
2	-4
4	9
-2	1
0	-10
-2	1
6	6
-4	9
-6	8
-2	-1
1	22
-3	12
4	13
-1	-6
9	7
0	-2
-1	-13
-3	2
6	-1
1	-5
-10	3
-3	2
4	-3
-9	3
5	1
-8	-6
-3	-10
7	3
10	8
1	-2
11	1
0	1
1	-7
1	-10
9	-8
0	17
12	7
10	1
5	-7
0	2
2	-15
-7	-3
-8	5
15	-8
-19	0
-4	-5
7	-3
-2	-9
6	2
-11	-4
-14	12
1	-7
-1	-2
7	1
-17	-10
0	0
15	-2
-6	3
-14	3
3	6
-5	7
4	-3
-5	14
-9	2
2	10
13	1
2	-4
12	-4
3	-4
1	19
0	6
4	4
6	2
5	-2
-1	-2
-3	-4
-10	-2
4	7
5	-1
0	10
1	2
5	-7
7	-20
2	-12
1	-4
-5	-2
1	0
-1	-4
9	7
-7	7
-10	8
-6	-3
7	-8
-8	-13
-8	10
-8	0
6	-5
-13	2
15	4
6	15
2	2
6	1
-4	6
-12	-9
-5	2
-8	3
1	6
6	0
-2	-3
2	3
12	4
-7	2
-5	3
11	-5
-3	-1
12	11
-3	-3
15	17
2	-4
-2	1
-2	12
4	3
-6	-11
7	-5
0	3
-3	3
24	-10
1	-5
0	4
-1	-1
-6	7
11	0
1	-1
2	3
-13	10
15	-2
17	-3
0	9
-5	-5
5	4
5	2
-13	-6
-4	5
-1	6
7	-3
-9	0
9	-4
-1	11
-16	-5
-21	-1
-8	-2
7	4
3	-15
-5	19
-10	-5
3	-6
-9	11
-7	-3
-10	2
13	-1
-9	8
-8	-4
-12	-3
-7	7
-12	-6
1	13
-5	9
9	0
-3	8
-3	-5
9	-4
3	7
-9	-1
7	-6
-7	-6
-3	11
-17	-9
3	-3
3	6
1	-14
-1	-5
4	5
4	0
6	-4
-10	1
2	8
-8	-1
6	4
-16	0
8	5
-4	7
7	-7
6	18
9	6
10	1
-6	0
-6	-5
14	-3
3	1
-19	0
-9	21
-15	6
0	-5
16	-4
4	2
3	4
-1	-10
-4	-5
11	6
9	-21
7	5
-6	-7
7	2
6	11
11	8
-9	2
6	11
-5	-5
-2	-9
2	7
8	3
5	3
-9	3
1	5
1	-4
3	7
-8	8
10	8
-2	0
-8	1
-6	-10
1	4
1	1
7	3
-10	-11
2	4
3	13
-3	-9
-5	2
3	5
-6	-3
-14	-10
-5	2
1	-7
2	5
2	-1
2	-1
0	10
