0	0.679576	0.008	-0.028
1	1.31367	0.016	-0.02
2	1.91413	0.074	-0.016
3	2.52912	0.072	-0.024
4	3.1129	0.132	0.028
5	4.16509	0.166	0.016
6	4.83242	0.152	0.008
7	5.56349	0.206	-0.024
8	6.19115	0.252	-0.014
9	7.0088	0.252	-0.03
10	7.37733	0.224	-0.034
11	7.92438	0.258	-0.026
12	8.62511	0.282	-0.016
13	9.28886	0.26	-0.026
14	10.0254	0.23	-0.066
15	10.3223	0.222	-0.064
16	10.7943	0.216	-0.082
17	11.4987	0.22	-0.014
18	12.2904	0.248	0.04
19	12.9461	0.228	0.088
20	13.7801	0.248	0.018
21	14.6232	0.256	0.008
22	14.9314	0.266	0.05
23	15.7052	0.252	0.01
24	16.0901	0.184	0.044
25	16.6276	0.16	0.034
26	17.1978	0.14	0.082
27	17.9526	0.2	0.104
28	18.6001	0.168	0.14
29	19.4883	0.18	0.114
30	20.0599	0.134	0.162
31	20.6169	0.166	0.068
32	21.5936	0.212	-0.042
33	22.3393	0.208	0.006
34	22.9984	0.182	0.012
35	23.8938	0.178	-0.026
36	25.0324	0.212	0.018
37	26.1005	0.174	0.026
38	26.7518	0.208	0.072
39	27.602	0.172	0.066
40	28.1622	0.164	0.082
41	29.2011	0.19	0.06
42	30.0256	0.13	0.062
43	30.7675	0.102	0.068
44	31.7795	0.122	0.078
45	32.1646	0.134	0.104
46	32.8717	0.174	0.128
47	33.633	0.184	0.046
48	34.7043	0.174	0.084
49	35.613	0.172	0.102
50	36.7041	0.132	0.12
51	37.2347	0.108	0.114
52	37.8474	0.124	0.126
53	38.2067	0.098	0.158
54	38.108	0.108	0.156
55	37.9784	0.108	0.098
56	38.3176	0.088	0.138
57	38.666	0.152	0.192
58	39.4132	0.184	0.236
59	40.2009	0.208	0.27
60	40.8589	0.204	0.242
61	41.9967	0.236	0.23
62	42.7016	0.23	0.148
63	43.5564	0.308	0.162
64	44.5562	0.244	0.2
65	45.2818	0.254	0.148
66	46.1286	0.28	0.092
67	46.6595	0.284	0.02
68	46.3508	0.222	0.034
69	46.9753	0.26	0.076
70	46.7984	0.302	-0.002
71	47.241	0.328	-0.022
72	48.037	0.34	-0.018
73	48.3647	0.314	-0.01
74	49.9105	0.3	-0.032
75	50.1274	0.24	-0.06
76	50.9278	0.22	-0.064
77	51.9085	0.17	-0.046
78	52.3085	0.216	-0.02
79	52.8649	0.186	0.04
80	53.1287	0.204	0.032
81	53.9049	0.28	0.042
82	54.3979	0.274	0.056
83	54.7677	0.256	0.084
84	54.6864	0.262	0.068
85	56.0803	0.26	0.042
86	56.5058	0.168	0.078
87	57.8135	0.15	0.05
88	59.1263	0.2	0.038
89	59.9289	0.22	0.062
90	60.7875	0.194	0.036
91	61.7022	0.16	0.006
92	62.5889	0.132	0.028
93	62.7495	0.142	0.07
94	63.2533	0.158	0.066
95	63.8915	0.212	0.134
96	64.2259	0.25	0.098
97	64.7885	0.208	0.042
98	65.095	0.18	0.04
99	65.9101	0.108	-0.008
